ts_s,pid,tid,futex_key_addr,futex_key_word,futex_key_offset,total_requests,total_time,hist0,hist1,hist2,hist3,hist4,hist5,hist6,hist7
2025-08-27 14:05:54.667145,13019,13672,18446619757348945920,824634138624,2888,,463553538,,,,,,,,
2025-08-27 14:05:54.667145,13019,13493,18446619757348945920,22155264,224,,459363175,,,,,,,,
2025-08-27 14:05:55.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:05:55.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:05:56.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:05:56.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:05:57.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:05:57.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:05:58.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:05:58.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:05:59.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:05:59.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:00.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:00.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:01.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:01.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:02.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:02.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:03.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:03.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:04.667145,13019,13672,18446619757348945920,824634138624,2888,1,999967062,0,0,0,0,0,0,0,1
2025-08-27 14:06:04.667145,13019,13493,18446619757348945920,22155264,224,1,989889405,0,0,0,0,0,0,0,1
2025-08-27 14:06:05.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:05.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:06.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:06.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:07.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:07.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:08.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:08.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:09.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:09.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
2025-08-27 14:06:10.667145,13019,13672,18446619757348945920,824634138624,2888,,1000000000,,,,,,,,
2025-08-27 14:06:10.667145,13019,13493,18446619757348945920,22155264,224,,1000000000,,,,,,,,
