ts_s,pid,tid,futex_key_addr,futex_key_word,futex_key_offset,total_requests,successful_count
2025-08-27 14:06:04.667145,13019,13524,18446619757348945920,824634138624,2888,1,1
2025-08-27 14:06:14.667145,13019,13524,18446619757348945920,824634138624,2888,1,1
2025-08-27 14:06:24.667145,13019,13524,18446619757348945920,824634138624,2888,1,1
2025-08-27 14:06:34.667145,13019,13524,18446619757348945920,824634138624,2888,1,1
2025-08-27 14:06:44.667145,13019,13524,18446619757348945920,824634138624,2888,1,1
2025-08-27 14:06:54.667145,13019,13524,18446619757348945920,824634138624,2888,1,1
2025-08-27 14:07:04.667145,13019,13524,18446619757348945920,824634138624,2888,1,1
2025-08-27 14:07:14.667145,13019,13672,18446619757348945920,22155264,248,1,1
2025-08-27 14:07:14.667145,13019,13672,18446619757348945920,22147072,2016,1,1
2025-08-27 14:07:14.667145,13019,13019,18446619757348945920,824634138624,2888,1,1
2025-08-27 14:07:14.667145,13019,13493,18446619757348945920,824634138624,2888,1,1
2025-08-27 14:07:14.667145,13019,13672,18446619757348945920,22155264,208,1,1
2025-08-27 14:07:21.667145,13019,13524,18446619757348945920,22155264,224,1,1
2025-08-27 14:07:21.667145,13019,13524,18446619757348945920,824634138624,2888,3,3
2025-08-27 14:07:21.667145,13019,13493,18446619757348945920,22147072,2016,1,1
2025-08-27 14:07:24.667145,13019,13019,18446619757348945920,824634138624,2888,1,1
2025-08-27 14:07:34.667145,13019,13672,18446619757348945920,22147072,2016,1,1
2025-08-27 14:07:44.667145,13019,13672,18446619757348945920,22147072,2016,1,1
2025-08-27 14:07:54.667145,13019,13672,18446619757348945920,22147072,2016,1,1
2025-08-27 14:08:04.667145,13019,13672,18446619757348945920,22147072,2016,1,1
2025-08-27 14:08:09.667145,13019,13524,18446619757348945920,824634138624,2888,1,1
2025-08-27 14:08:09.667145,13253,16535,18446619754767492736,124874160971776,464,1,1
2025-08-27 14:08:09.667145,13253,16538,18446619754767492736,124873623994368,3552,1,1
2025-08-27 14:08:09.667145,13253,16535,18446619754767492736,124874161020928,2656,1,1
2025-08-27 14:08:09.667145,13253,16535,18446619754767492736,110009501880320,2880,3,3
2025-08-27 14:08:09.667145,13253,13684,18446619754767492736,124874093780992,3856,1,1
2025-08-27 14:08:09.667145,13253,16538,18446619754767492736,124874161192960,2336,1,1
2025-08-27 14:08:09.667145,838,15305,18446619754133548544,824649203712,1096,4,4
2025-08-27 14:08:09.667145,13253,16542,18446619754767492736,124873624010752,56,1,1
2025-08-27 14:08:09.667145,13253,16533,18446619754767492736,110009501769728,1272,6,6
2025-08-27 14:08:09.667145,13253,16533,18446619754767492736,110009501868032,3976,1,1
2025-08-27 14:08:09.667145,13253,16535,18446619754767492736,110009501769728,1272,11,11
2025-08-27 14:08:09.667145,13253,16539,18446619754767492736,124874161242112,560,1,1
2025-08-27 14:08:09.667145,14019,14020,18446619754767501184,824636559360,2376,1,1
2025-08-27 14:08:09.667145,13253,16533,18446619754767492736,110009501880320,2964,4,4
2025-08-27 14:08:09.667145,13253,16533,18446619754767492736,124874093789184,2176,1,1
2025-08-27 14:08:09.667145,14019,14122,18446619754767501184,100785407008768,3616,1,1
2025-08-27 14:08:09.667145,13253,16533,18446619754767492736,124874429976576,4048,6,6
2025-08-27 14:08:09.667145,13253,16535,18446619754767492736,124874161278976,2000,1,1
2025-08-27 14:08:09.667145,13253,16533,18446619754767492736,124874161270784,2560,1,1
2025-08-27 14:08:09.667145,13253,16537,18446619754767492736,124874161020928,1792,1,1
2025-08-27 14:08:09.667145,13253,16542,18446619754767492736,124873624027136,2416,1,1
2025-08-27 14:08:09.667145,13253,16535,18446619754767492736,110009501769728,1276,11,11
2025-08-27 14:08:09.667145,13253,16540,18446619754767492736,124874161246208,4064,1,1
2025-08-27 14:08:09.667145,13253,16544,18446619754767492736,124874161287168,1476,1,1
2025-08-27 14:08:09.667145,13253,16535,18446619754767492736,124874431221760,3616,6,6
2025-08-27 14:08:09.667145,13253,16544,18446619754767492736,124874161262592,3120,1,1
2025-08-27 14:08:09.667145,13253,16538,18446619754767492736,124874161233920,1248,1,1
2025-08-27 14:08:09.667145,13253,16533,18446619754767492736,110009501872128,2192,1,1
2025-08-27 14:08:09.667145,13253,16536,18446619754767492736,124873758228480,240,1,1
2025-08-27 14:08:09.667145,13253,16533,18446619754767492736,110009501880320,2736,1,1
2025-08-27 14:08:09.667145,13253,16535,18446619754767492736,124874429960192,3600,1,1
2025-08-27 14:08:09.667145,13253,16535,18446619754767492736,124874093780992,3856,1,1
2025-08-27 14:08:09.667145,838,12627,18446619754133548544,110455243796480,1216,2,2
2025-08-27 14:08:09.667145,13253,16535,18446619754767492736,124874161233920,2112,1,1
2025-08-27 14:08:09.667145,13253,16535,18446619754767492736,124874431762432,1072,1,1
2025-08-27 14:08:09.667145,13253,16544,18446619754767492736,124873624006656,1824,1,1
2025-08-27 14:08:09.667145,13253,16542,18446619754767492736,124873624023040,960,1,1
2025-08-27 14:08:09.667145,838,15375,18446619754133548544,110455243796480,1216,1,1
2025-08-27 14:08:09.667145,13253,16535,18446619754767492736,124874430930944,2144,1,1
2025-08-27 14:08:09.667145,13253,16535,18446619754767492736,110009501769728,1192,1,1
2025-08-27 14:08:09.667145,13253,16533,18446619754767492736,124874161242112,736,2,2
2025-08-27 14:08:09.667145,838,15305,18446619754133548544,110455243796480,984,1,1
2025-08-27 14:08:09.667145,13253,16542,18446619754767492736,110009501773824,1628,1,1
2025-08-27 14:08:09.667145,13253,13683,18446619754767492736,124874093780992,3860,1,1
2025-08-27 14:08:09.667145,13253,16542,18446619754767492736,124873624006656,1824,1,1
2025-08-27 14:08:09.667145,13253,16535,18446619754767492736,124874161373184,3248,1,1
2025-08-27 14:08:09.667145,13253,16533,18446619754767492736,110009501868032,4056,3,3
2025-08-27 14:08:09.667145,13253,16533,18446619754767492736,124874161262592,3124,1,1
2025-08-27 14:08:09.667145,13253,16533,18446619754767492736,124874161270784,2564,1,1
2025-08-27 14:08:09.667145,13253,16533,18446619754767492736,124874429976576,3632,14,14
2025-08-27 14:08:09.667145,13253,16542,18446619754767492736,124874161262592,2944,1,1
