ts,pid,tid,comm,nvcsw,nivcsw,run_time_total,rq_time_total,rq_count,blkio_time_total,blkio_count,uninterruptible_total,freepages_time_total,freepages_count,thrashing_time_total,thrashing_count,swapin_time_total,swapin_count
2025-08-27 14:05:54.232443,13019,13019,server,219,613,78590381,265375141,832,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:54.232453,13019,13493,server,394,8,7147681,28731955,402,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:54.232457,13019,13494,server,16,6,2610096,12873350,22,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:54.232458,13019,13495,server,37,24,3056131,16132822,61,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:54.232463,13019,13524,server,64,51,6119726,11840675,115,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:54.232465,13019,13672,server,48,22,2468738,2744197,70,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:55.232472,13019,13019,server,219,613,78590381,265375141,832,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:55.232492,13019,13493,server,396,8,7211813,28731955,404,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:55.232495,13019,13494,server,16,6,2610096,12873350,22,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:55.232497,13019,13495,server,37,24,3056131,16132822,61,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:55.232501,13019,13524,server,66,51,6196749,11842302,117,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:55.232502,13019,13672,server,49,22,2497466,2744197,71,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:56.232529,13019,13019,server,219,613,78590381,265375141,832,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:56.232545,13019,13493,server,396,8,7211813,28731955,404,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:56.232549,13019,13494,server,16,6,2610096,12873350,22,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:56.23255,13019,13495,server,37,24,3056131,16132822,61,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:56.232555,13019,13524,server,66,51,6196749,11842302,117,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:56.232557,13019,13672,server,49,22,2497466,2744197,71,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:57.23264,13019,13019,server,219,613,78590381,265375141,832,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:57.232654,13019,13493,server,396,8,7211813,28731955,404,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:57.232658,13019,13494,server,16,6,2610096,12873350,22,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:57.232659,13019,13495,server,37,24,3056131,16132822,61,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:57.232663,13019,13524,server,66,51,6196749,11842302,117,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:57.232665,13019,13672,server,49,22,2497466,2744197,71,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:58.23279,13019,13019,server,219,613,78590381,265375141,832,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:58.232821,13019,13493,server,396,8,7211813,28731955,404,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:58.232825,13019,13494,server,16,6,2610096,12873350,22,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:58.232826,13019,13495,server,37,24,3056131,16132822,61,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:58.232831,13019,13524,server,66,51,6196749,11842302,117,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:58.232832,13019,13672,server,49,22,2497466,2744197,71,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:59.232899,13019,13019,server,219,613,78590381,265375141,832,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:59.232903,13019,13493,server,396,8,7211813,28731955,404,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:59.232906,13019,13494,server,16,6,2610096,12873350,22,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:59.232907,13019,13495,server,37,24,3056131,16132822,61,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:59.232912,13019,13524,server,66,51,6196749,11842302,117,0,0,0,0,0,0,0,0,0
2025-08-27 14:05:59.232913,13019,13672,server,49,22,2497466,2744197,71,0,0,0,0,0,0,0,0,0
2025-08-27 14:06:00.232976,13019,13019,server,219,613,78590381,265375141,832,0,0,0,0,0,0,0,0,0
2025-08-27 14:06:00.23299,13019,13493,server,396,8,7211813,28731955,404,0,0,0,0,0,0,0,0,0
2025-08-27 14:06:00.232994,13019,13494,server,16,6,2610096,12873350,22,0,0,0,0,0,0,0,0,0
2025-08-27 14:06:00.232995,13019,13495,server,37,24,3056131,16132822,61,0,0,0,0,0,0,0,0,0
2025-08-27 14:06:00.233,13019,13524,server,66,51,6196749,11842302,117,0,0,0,0,0,0,0,0,0
2025-08-27 14:06:00.233001,13019,13672,server,49,22,2497466,2744197,71,0,0,0,0,0,0,0,0,0
2025-08-27 14:06:01.23308,13019,13019,server,219,613,78590381,265375141,832,0,0,0,0,0,0,0,0,0
2025-08-27 14:06:01.233095,13019,13493,server,396,8,7211813,28731955,404,0,0,0,0,0,0,0,0,0
2025-08-27 14:06:01.233099,13019,13494,server,16,6,2610096,12873350,22,0,0,0,0,0,0,0,0,0
