ts_s,pid,tid,fs_magic,device_id,inode_id,op,total_time,total_requests,hist0,hist1,hist2,hist3,hist4,hist5,hist6,hist7
2025-08-27 14:07:21.667145,13019,13524,1397703499,0,59708,0,288473,2,0,1,0,1,0,0,0,0
2025-08-27 14:08:09.667145,12856,12856,1397703499,0,70053,0,20923,6,0,6,0,0,0,0,0,0
2025-08-27 14:08:09.667145,12856,12856,1397703499,0,70053,1,226037,6,0,0,6,0,0,0,0,0
2025-08-27 14:08:09.667145,13253,16533,1397703499,0,70808,0,10771,4,1,3,0,0,0,0,0,0
2025-08-27 14:08:09.667145,13095,13670,1397703499,0,59289,1,41504,1,0,0,1,0,0,0,0,0
2025-08-27 14:08:09.667145,13253,16546,1346981957,0,70046,0,108787,1,0,0,0,1,0,0,0,0
2025-08-27 14:08:09.667145,838,15375,1397703499,0,58241,0,3610,2,1,1,0,0,0,0,0,0
2025-08-27 14:08:09.667145,13253,16533,1397703499,0,70822,1,84745,2,0,0,2,0,0,0,0,0
2025-08-27 14:08:09.667145,13253,16540,1346981957,0,70034,0,41964,1,0,0,1,0,0,0,0,0
2025-08-27 14:08:09.667145,13253,16533,1397703499,0,70822,0,3277,2,0,2,0,0,0,0,0,0
2025-08-27 14:08:09.667145,13019,13524,1397703499,0,70805,0,1482,1,0,1,0,0,0,0,0,0
2025-08-27 14:08:09.667145,13192,13201,1346981957,0,57676,0,4907,2,1,1,0,0,0,0,0,0
2025-08-27 14:08:09.667145,13253,16535,1346981957,0,70817,1,14445,1,0,0,1,0,0,0,0,0
2025-08-27 14:08:09.667145,13253,16535,1346981957,0,70819,1,8240,1,0,1,0,0,0,0,0,0
2025-08-27 14:08:09.667145,13253,16538,1397703499,0,70823,1,53123,1,0,0,1,0,0,0,0,0
2025-08-27 14:08:09.667145,13253,16535,1397703499,0,70045,0,5561,1,0,1,0,0,0,0,0,0
2025-08-27 14:08:09.667145,13253,16533,16914836,1048585,10,0,2882,1,0,1,0,0,0,0,0,0
2025-08-27 14:08:09.667145,13253,16533,1397703499,0,70808,1,98869,1,0,0,1,0,0,0,0,0
2025-08-27 14:08:09.667145,13253,16536,1397703499,0,70823,0,2235,1,0,1,0,0,0,0,0,0
2025-08-27 14:08:09.667145,838,15375,1397703499,0,58241,1,35952,2,0,0,2,0,0,0,0,0
2025-08-27 14:08:09.667145,13253,16535,1397703499,0,70825,0,3632,2,0,2,0,0,0,0,0,0
2025-08-27 14:08:09.667145,13019,13019,1397703499,0,70806,1,39473,1,0,0,1,0,0,0,0,0
2025-08-27 14:08:09.667145,13019,13019,1397703499,0,59600,1,71478,1,0,0,1,0,0,0,0,0
2025-08-27 14:08:09.667145,13253,16535,1346981957,0,70025,1,5349,1,0,1,0,0,0,0,0,0
2025-08-27 14:08:09.667145,13253,16539,1397703499,0,70045,0,2894,1,0,1,0,0,0,0,0,0
2025-08-27 14:08:09.667145,13019,13672,1397703499,0,59452,2,1515,2,1,1,0,0,0,0,0,0
2025-08-27 14:08:09.667145,13253,16545,1397703499,0,70045,1,36545,1,0,0,1,0,0,0,0,0
2025-08-27 14:08:09.667145,13019,13672,1397703499,0,70807,1,124203,2,0,0,1,1,0,0,0,0
2025-08-27 14:08:09.667145,12758,12784,1346981957,0,56673,0,76161,2,1,0,1,0,0,0,0,0
2025-08-27 14:08:09.667145,13019,13019,1397703499,0,59555,0,4909,2,0,2,0,0,0,0,0,0
2025-08-27 14:08:09.667145,12856,12856,1397703499,0,70049,1,275928,8,0,0,8,0,0,0,0,0
2025-08-27 14:08:09.667145,12972,13527,1346981957,0,56613,1,9605,1,0,1,0,0,0,0,0,0
2025-08-27 14:08:09.667145,13253,16537,1397703499,0,70045,1,2448082,2,0,0,1,0,1,0,0,0
2025-08-27 14:08:09.667145,13253,16535,1346981957,0,70812,1,15419,1,0,0,1,0,0,0,0,0
2025-08-27 14:08:09.667145,838,12627,1397703499,0,57324,0,3333,1,0,1,0,0,0,0,0,0
2025-08-27 14:08:09.667145,12758,12784,16914836,0,5612,1,10112,1,0,0,1,0,0,0,0,0
2025-08-27 14:08:09.667145,13253,16535,1346981957,0,70816,1,12182,1,0,0,1,0,0,0,0,0
2025-08-27 14:08:09.667145,12972,12972,1397703499,0,59601,1,76535,2,0,0,2,0,0,0,0,0
2025-08-27 14:08:09.667145,13019,13019,1397703499,0,59600,0,5100,2,0,2,0,0,0,0,0,0
