pid,argv,cgroup,exe
13019,/src/server,/../docker-61f72e456627e2af8891097085729ff833c1df84670cc78a69839fa82380ce68.scope,/src/server
12758,/usr/bin/containerd-shim-runc-v2 -namespace moby -id 61f72e456627e2af8891097085729ff833c1df84670cc78a69839fa82380ce68 -address /run/containerd/containerd.sock,/../containerd.service,/usr/bin/containerd-shim-runc-v2
838,/usr/bin/dockerd -H fd:// --containerd=/run/containerd/containerd.sock,/../docker.service,/usr/bin/dockerd
12972,node server.js,/../docker-20d7df17c3da203c958dcd374fc24b0ea797206a97d092df2237e49b56dea8e8.scope,/usr/bin/node
12720,/usr/bin/containerd-shim-runc-v2 -namespace moby -id 20d7df17c3da203c958dcd374fc24b0ea797206a97d092df2237e49b56dea8e8 -address /run/containerd/containerd.sock,/../containerd.service,/usr/bin/containerd-shim-runc-v2
13095,/src/server,/../docker-8546b771d87802535d8f4a3614b7acd959eab481e568a4f3803f746f5722796f.scope,/src/server
13253,/app/cartservice,/../docker-cd6df3d44ce258eb5a482a416acaa12fe544f15dba58d7dccb37681cb1878a9b.scope,/app/cartservice
14132,/usr/bin/containerd-shim-runc-v2 -namespace moby -id 4d1df17dd4b223f93f0b399fe02aa80e2d4730868e937af3f041a1337ff0b5ce -address /run/containerd/containerd.sock,/../containerd.service,/usr/bin/containerd-shim-runc-v2
14019,docker run --rm -it --privileged -e RUST_LOG=info --pid host -v /home/ubuntu/path_discovery/cdata:/data -v /sys/fs/cgroup:/sys/fs/cgroup -v /sys/kernel/tracing:/sys/kernel/tracing -v /sys/kernel/debug:/sys/kernel/debug --name prism dclandau/prism:latest --machine-id 1 --pids 13019,/../../user.slice/user-1000.slice/session-3.scope,/usr/bin/docker
13192,/usr/bin/containerd-shim-runc-v2 -namespace moby -id cd6df3d44ce258eb5a482a416acaa12fe544f15dba58d7dccb37681cb1878a9b -address /run/containerd/containerd.sock,/../containerd.service,/usr/bin/containerd-shim-runc-v2
12856,redis-server *:6379                                                                                                                                                                                                                              ,/../docker-1a2df328d99695fd6177eda526f6b278c2991ab1a4b14809667bcb4d87ef980e.scope,/usr/local/bin/redis-server
