inode_id,family,type,protocol
59708,2,1,6
59452,10,1,6
70802,10,1,6
59600,2,1,6
59601,10,1,6
59555,2,1,6
59289,10,1,6
70805,2,2,17
57771,2,2,17
70806,2,2,17
70807,2,1,6
70808,10,1,6
59616,10,1,6
61094,1,1,0
61464,1,1,0
57324,2,2,17
70822,2,2,17
58241,2,2,17
57963,2,2,17
70045,10,1,6
70825,2,2,17
70823,10,1,6
70049,2,1,6
70053,2,1,6
70884,2,2,17
70074,2,2,17
70075,2,2,17
70885,2,2,17
59392,2,1,6
59699,10,1,6
58662,2,2,17
58130,2,2,17
59713,2,1,6
59714,10,1,6
70078,2,2,17
70079,2,2,17
59282,10,1,6
70082,10,1,6
70887,10,1,6
58792,2,2,17
56843,2,2,17
56146,2,2,17
56168,2,2,17
57114,2,2,17
69608,1,1,0
69679,1,1,0
69758,2,1,6
70799,2,1,6
70801,2,1,6
69610,1,1,0
6631,1,1,0
74237,1,1,0
74236,1,1,0
7717,1,1,0
8645,1,1,0
69622,1,1,0
69626,1,1,0
69706,1,1,0
69707,1,1,0
7087,1,1,0
8536,1,1,0
6125,1,1,0
789,1,2,0
791,1,2,0
69604,1,1,0
69678,1,1,0
19544,1,1,0
19543,1,1,0
75107,2,1,6
75108,2,1,6
19562,1,1,0
19563,1,1,0
18392,1,1,0
18399,1,1,0
74323,2,1,6
75171,10,1,6
26261,2,1,6
26845,2,1,6
26175,2,1,6
75173,2,1,6
74324,2,1,6
26829,2,1,6
26238,2,1,6
7589,1,1,0
75190,1,1,0
74345,1,1,0
26225,2,1,6
26821,2,1,6
75193,2,1,6
75192,2,1,6
26292,10,1,6
24698,2,1,6
26822,2,1,6
26230,2,1,6
26214,2,1,6
26814,2,1,6
26848,2,1,6
26847,2,1,6
26853,2,1,6
26262,2,1,6
74535,10,1,6
26223,2,1,6
75195,2,1,6
26817,2,1,6
26244,2,1,6
26832,2,1,6
23395,2,1,6
26181,2,1,6
23396,2,1,6
26182,2,1,6
26860,2,1,6
26859,2,1,6
