local_machine_id,local_inode_id,remote_machine_id,remote_inode_id,inserted_at
1,59600,0,0,2025-08-27 14:08:10.040034
1,59601,1,59600,2025-08-27 14:08:10.040065
1,59555,0,0,2025-08-27 14:08:10.040066
1,59289,1,59555,2025-08-27 14:08:10.040067
1,70807,0,0,2025-08-27 14:08:10.040068
1,70808,1,70807,2025-08-27 14:08:10.040069
1,70045,0,0,2025-08-27 14:08:10.661315
1,70049,1,70045,2025-08-27 14:08:10.661328
1,70823,0,0,2025-08-27 14:08:10.661329
1,70049,0,0,2025-08-27 14:08:10.66133
1,70053,1,70823,2025-08-27 14:08:10.661331
1,70053,0,0,2025-08-27 14:08:10.661332
1,70823,1,70053,2025-08-27 14:08:10.661332
1,70045,1,70049,2025-08-27 14:08:10.661333
1,70808,0,0,2025-08-27 14:08:10.861467
1,70807,1,70808,2025-08-27 14:08:10.861478
1,59601,0,0,2025-08-27 14:08:10.861479
1,59600,1,59601,2025-08-27 14:08:10.86148
1,59392,0,0,2025-08-27 14:08:10.861481
1,59699,1,59392,2025-08-27 14:08:10.861482
1,59699,0,0,2025-08-27 14:08:10.962207
1,59392,1,59699,2025-08-27 14:08:10.962218
1,59289,0,0,2025-08-27 14:08:11.064777
1,59555,1,59289,2025-08-27 14:08:11.064788
1,59713,0,0,2025-08-27 14:08:11.064789
1,59714,1,59713,2025-08-27 14:08:11.06479
1,59714,0,0,2025-08-27 14:08:11.064791
1,59713,1,59714,2025-08-27 14:08:11.064792
1,70082,0,0,2025-08-27 14:08:11.064793
1,70887,0,0,2025-08-27 14:08:11.064794
1,70082,1,70887,2025-08-27 14:08:11.064795
1,70887,1,70082,2025-08-27 14:08:11.064796
1,69758,0,0,2025-08-27 14:08:13.990318
1,70799,1,69758,2025-08-27 14:08:13.990331
1,70801,0,0,2025-08-27 14:08:13.990332
1,70802,1,70801,2025-08-27 14:08:13.990333
1,70802,0,0,2025-08-27 14:08:36.655786
1,70801,1,70802,2025-08-27 14:08:36.655799
1,75107,0,0,2025-08-27 14:09:22.564553
1,75108,1,75107,2025-08-27 14:09:22.564564
1,75108,0,0,2025-08-27 14:09:22.564565
1,75107,1,75108,2025-08-27 14:09:22.564581
1,74323,0,0,2025-08-27 14:09:22.76471
1,75171,1,74323,2025-08-27 14:09:22.764721
1,75171,0,0,2025-08-27 14:09:22.764722
1,74323,1,75171,2025-08-27 14:09:22.764723
1,26261,0,0,2025-08-27 14:09:22.764724
1,26845,1,26261,2025-08-27 14:09:22.764724
1,26845,0,0,2025-08-27 14:09:22.764725
1,26261,1,26845,2025-08-27 14:09:22.764727
1,75173,0,0,2025-08-27 14:09:23.164983
1,74324,1,75173,2025-08-27 14:09:23.164995
1,74324,0,0,2025-08-27 14:09:23.164996
1,75173,1,74324,2025-08-27 14:09:23.164997
1,26829,0,0,2025-08-27 14:09:23.370891
1,26238,1,26829,2025-08-27 14:09:23.370902
